cmod, load_min, load_max
0.0204497000, 882.30, 1109.59
0.0204852900, 880.74, 1110.19
0.0205209000, 879.84, 1108.95
0.0205564900, 880.26, 1109.73
0.0205920900, 880.49, 1108.61
0.0206276900, 877.73, 1109.66
0.0206632900, 878.27, 1109.84
0.0206988900, 876.93, 1110.50
0.0207344900, 877.87, 1111.23
0.0207700900, 875.58, 1111.16
0.0208056900, 876.11, 1110.50
0.0208412900, 876.39, 1110.77
0.0208768900, 876.13, 1111.65
0.0209124900, 874.86, 1110.92
0.0209480900, 875.45, 1109.08
0.0209836900, 873.91, 1110.80
0.0210192900, 874.78, 1111.27
0.0210548900, 876.50, 1111.25
0.0210904900, 874.59, 1110.30
0.0211260900, 874.37, 1110.03
0.0211616900, 875.05, 1110.10
0.0211972900, 873.52, 1111.80
0.0212328800, 873.25, 1110.13
0.0212684900, 873.25, 1110.89
0.0213040800, 872.47, 1111.52
0.0213396800, 871.58, 1110.78
0.0213752800, 872.90, 1111.67
0.0214108800, 872.97, 1108.93
0.0214464800, 871.99, 1110.95
0.0214820800, 870.92, 1108.35
0.0215176800, 871.00, 1109.54
0.0215532800, 869.73, 1110.37
0.0215888800, 870.84, 1110.65
0.0216244800, 872.19, 1110.88
0.0216600800, 869.29, 1109.63
0.0216956800, 870.42, 1109.96
0.0217312800, 868.82, 1108.09
0.0217668800, 870.79, 1109.22
0.0218024800, 870.33, 1108.34
0.0218380800, 870.59, 1109.26
0.0218736800, 869.22, 1110.56
0.0219092700, 868.56, 1109.05
0.0219448700, 869.20, 1109.55
0.0219804700, 867.68, 1110.23
0.0220160700, 869.60, 1109.10
0.0220516700, 868.22, 1108.18
0.0220872700, 868.44, 1109.78
0.0221228700, 866.81, 1110.11
0.0221584700, 867.96, 1108.42
0.0221940700, 867.97, 1110.01
0.0222296700, 868.29, 1109.69
0.0222652700, 867.40, 1110.07
0.0223008700, 868.36, 1110.72
0.0223364700, 867.49, 1111.70
0.0223720700, 868.00, 1111.90
0.0224076700, 868.34, 1111.06
0.0224432700, 866.89, 1111.16
0.0224788700, 867.63, 1110.30
0.0225144700, 867.13, 1110.50
0.0225500700, 867.72, 1111.03
0.0225856600, 867.86, 1111.17
0.0226212600, 867.81, 1112.60
0.0226568600, 866.44, 1111.62
0.0226924600, 866.40, 1112.52
0.0227280600, 864.94, 1111.97
0.0227636600, 865.54, 1111.50
0.0227992600, 867.13, 1110.94
0.0228348600, 865.04, 1111.18
0.0228704600, 864.83, 1112.58
0.0229060600, 863.17, 1112.69
0.0229416600, 862.98, 1112.52
0.0229772600, 863.04, 1113.92
0.0230128600, 863.21, 1113.94
0.0230484600, 863.48, 1113.56
0.0230840600, 861.04, 1113.56
0.0231196600, 860.05, 1112.40
0.0231552600, 859.73, 1111.13
0.0231908600, 859.29, 1111.11
0.0232264500, 861.09, 1111.96
0.0232620500, 858.84, 1110.39
0.0232976500, 859.36, 1111.14
0.0233332500, 857.86, 1111.56
0.0233688500, 859.38, 1111.12
0.0234044500, 859.97, 1110.07
0.0234400500, 859.11, 1109.40
0.0234756500, 857.75, 1109.44
0.0235112500, 855.62, 1107.67
0.0235468500, 855.88, 1109.02
0.0235824500, 854.47, 1108.17
0.0236180500, 854.88, 1107.90
0.0236536500, 851.95, 1108.33
0.0236892500, 850.85, 1107.84
0.0237248500, 850.16, 1109.16
0.0237604500, 849.55, 1106.14
0.0237960500, 850.48, 1105.95
0.0238316500, 850.53, 1106.05
0.0238672500, 850.32, 1106.26
0.0239028400, 848.37, 1105.15
0.0239384500, 847.82, 1105.49
0.0239740400, 847.83, 1106.59
0.0240096400, 846.55, 1105.40
0.0240452400, 845.04, 1105.98
0.0240808400, 844.21, 1104.92
0.0241164400, 844.82, 1105.36
0.0241520400, 843.08, 1106.02
0.0241876400, 845.09, 1104.17
0.0242232400, 842.86, 1103.97
0.0242588400, 843.37, 1104.18
0.0242944400, 841.50, 1105.04
0.0243300400, 842.30, 1104.42
0.0243656400, 841.67, 1103.97
0.0244012400, 840.96, 1105.17
0.0244368400, 840.16, 1103.77
0.0244724400, 841.36, 1103.80
0.0245080400, 839.41, 1102.03
0.0245436400, 838.00, 1102.27
0.0245792300, 837.49, 1101.79
0.0246148400, 837.36, 1101.09
0.0246504300, 836.89, 1103.61
0.0246860300, 835.58, 1101.68
0.0247216300, 835.20, 1100.61
0.0247572300, 835.46, 1100.24
0.0247928300, 835.70, 1100.40
0.0248284300, 835.28, 1097.95
0.0248640300, 832.53, 1097.99
0.0248996300, 832.93, 1098.47
0.0249352300, 831.07, 1096.71
0.0249708300, 832.24, 1096.63
0.0250064300, 831.46, 1095.82
0.0250420300, 830.59, 1094.80
0.0250776300, 830.15, 1091.95
0.0251132300, 829.86, 1092.98
0.0251488300, 829.35, 1093.42
0.0251844300, 828.56, 1092.35
0.0252200300, 828.04, 1091.24
0.0252556200, 827.19, 1091.67
0.0252912200, 827.20, 1090.95
0.0253268200, 825.66, 1089.61
0.0253624200, 825.96, 1089.29
0.0253980200, 825.51, 1090.02
0.0254336200, 825.35, 1088.13
0.0254692200, 824.18, 1089.75
0.0255048200, 823.38, 1090.69
0.0255404200, 823.83, 1090.42
0.0255760200, 821.42, 1090.41
0.0256116200, 821.75, 1089.89
0.0256472200, 821.28, 1089.11
0.0256828200, 820.32, 1088.26
0.0257184200, 821.82, 1088.77
0.0257540200, 820.58, 1088.33
0.0257896200, 820.56, 1087.25
0.0258252200, 818.21, 1087.52
0.0258608200, 819.54, 1087.17
0.0258964200, 817.15, 1088.90
0.0259320200, 816.66, 1089.82
0.0259676100, 817.81, 1086.58
0.0260032100, 815.51, 1085.99
0.0260388100, 817.64, 1085.98
0.0260744100, 815.80, 1086.45
0.0261100100, 815.27, 1085.91
0.0261456100, 815.50, 1086.19
0.0261812100, 814.18, 1085.68
0.0262168100, 813.03, 1084.24
0.0262524100, 812.80, 1085.04
0.0262880100, 813.30, 1084.62
0.0263236100, 812.19, 1082.95
0.0263592100, 812.18, 1080.63
0.0263948100, 811.10, 1079.64
0.0264304100, 811.07, 1081.27
0.0264660100, 811.39, 1078.64
0.0265016100, 811.17, 1078.51
0.0265372100, 810.50, 1076.03
0.0265728000, 810.53, 1076.28
0.0266084100, 809.13, 1075.35
0.0266440000, 808.62, 1075.32
0.0266796000, 809.93, 1075.90
0.0267152000, 809.23, 1073.56
0.0267508000, 809.23, 1073.93
0.0267864000, 807.48, 1073.69
0.0268220000, 807.51, 1072.79
0.0268576000, 807.39, 1073.46
0.0268932000, 807.07, 1071.26
0.0269288000, 806.42, 1071.98
0.0269644000, 804.58, 1069.81
0.0270000000, 806.70, 1070.36
0.0270356000, 806.81, 1070.51
0.0270712000, 806.05, 1069.22
0.0271068000, 804.84, 1069.62
